keydevid,companyid,keydeveventtypeid,announcedate,gvkey
82699,210392,25,20030731,062599
82725,685793,25,20030128,
82759,7917601,25,20030729,
82765,668885,25,20030729,
82790,365013,25,20030730,065350
82795,325299,25,20030730,017654
82809,162270,25,20030729,008530
82809,174336,25,20030729,003734
82809,309989,25,20030729,010857
82836,27862,25,20030424,114524
82861,873863,25,20030815,009652
82884,252551,25,20030729,001906
82929,256839,25,20030814,002435
82948,391687,25,20030814,003243
82948,30746925,25,20030814,
82954,272862,25,20030417,004769
82957,7984720,25,20030814,
82966,112732,25,20030725,
82969,89541,25,20030725,137572
82975,19609,25,20030725,126136
82980,111762,25,20030725,065488
82988,140283,25,20030725,010499
82990,310955,25,20030725,010946
82996,879792,25,20030725,060978
82996,4307210,25,20030725,
82996,7714935,25,20030725,
83086,34907,25,20030127,001278
83087,359461,25,20020725,064542
83094,4247630,25,20030227,
83109,105612,25,20030227,008972
83132,135827,25,20030724,006127
83132,890180,25,20030724,
83138,171909,25,20030723,128659
83141,9708524,25,20030723,
83144,8081687,25,20030723,
83155,315454,25,20030814,016488
83162,27707,25,20030723,066507
83212,2753522,25,20030723,
83220,1856986,25,20020403,
83241,162270,25,20030311,008530
83254,34907,25,20030128,001278
83257,34160,25,20030723,031168
83272,94594,25,20030723,064099
83327,135827,25,20030604,006127
83348,384976,25,20030812,111534
